Date et heure de comptage,Débit horaire
2020-12-11 00:00:00,409.4867987360823
2020-12-11 01:00:00,330.170516874909
2020-12-11 02:00:00,221.66865837692137
2020-12-11 03:00:00,156.43081046702866
2020-12-11 04:00:00,90.40030785661973
2020-12-11 05:00:00,97.93666094961901
2020-12-11 06:00:00,126.57812477765347
2020-12-11 07:00:00,282.9999548461076
2020-12-11 08:00:00,523.3293249799194
2020-12-11 09:00:00,705.7312044838583
2020-12-11 10:00:00,715.0727931600566
2020-12-11 11:00:00,702.417573300487
2020-12-11 12:00:00,761.8477785082595
2020-12-11 13:00:00,823.9859470121438
2020-12-11 14:00:00,809.793646677685
2020-12-11 15:00:00,846.5966836868704
2020-12-11 16:00:00,847.4684075541238
2020-12-11 17:00:00,915.1068642829454
2020-12-11 18:00:00,891.0127601559461
2020-12-11 19:00:00,913.2933390983794
2020-12-11 20:00:00,872.4967302489022
2020-12-11 21:00:00,720.6713439383832
2020-12-11 22:00:00,489.4832807468755
2020-12-11 23:00:00,439.4055094669852
2020-12-12 00:00:00,406.5175744922044
2020-12-12 01:00:00,336.59105085144813
2020-12-12 02:00:00,225.91742389211066
2020-12-12 03:00:00,198.353438210263
2020-12-12 04:00:00,132.13559849423376
2020-12-12 05:00:00,102.82520637182728
2020-12-12 06:00:00,117.95601173478985
2020-12-12 07:00:00,161.49352862713047
2020-12-12 08:00:00,259.9759009616513
2020-12-12 09:00:00,358.3861521802419
2020-12-12 10:00:00,463.30566020782885
2020-12-12 11:00:00,557.5366454798678
2020-12-12 12:00:00,667.8698220821846
2020-12-12 13:00:00,714.7605949102564
2020-12-12 14:00:00,677.418147670134
2020-12-12 15:00:00,669.2210620748849
2020-12-12 16:00:00,716.8948207976521
2020-12-12 17:00:00,728.4877255586449
2020-12-12 18:00:00,698.0680835765486
2020-12-12 19:00:00,719.5890979896492
2020-12-12 20:00:00,736.2834326397367
2020-12-12 21:00:00,649.1838557511356
2020-12-12 22:00:00,468.42508151466757
2020-12-12 23:00:00,402.36512114627857
2020-12-13 00:00:00,404.697410337915
2020-12-13 01:00:00,358.0412735992814
2020-12-13 02:00:00,254.46545038600038
2020-12-13 03:00:00,209.03327692344135
2020-12-13 04:00:00,161.31721288119058
2020-12-13 05:00:00,96.49014980963096
2020-12-13 06:00:00,98.6031081829266
2020-12-13 07:00:00,111.55289739094994
2020-12-13 08:00:00,160.48662381320477
2020-12-13 09:00:00,207.0648538799884
2020-12-13 10:00:00,296.2562662867607
2020-12-13 11:00:00,362.7204686493501
2020-12-13 12:00:00,463.83632553580367
2020-12-13 13:00:00,557.5915678969995
2020-12-13 14:00:00,522.7148705747261
2020-12-13 15:00:00,524.7150237789435
2020-12-13 16:00:00,580.5378227972765
2020-12-13 17:00:00,597.4986998987478
2020-12-13 18:00:00,629.187114666621
2020-12-13 19:00:00,723.4873677611325
2020-12-13 20:00:00,716.3751749576442
2020-12-13 21:00:00,569.0007088628769
2020-12-13 22:00:00,483.70634015207065
2020-12-13 23:00:00,401.5244342800122
2020-12-14 00:00:00,336.1090838779114
2020-12-14 01:00:00,262.5216144546564
2020-12-14 02:00:00,155.61787649570522
2020-12-14 03:00:00,100.7769814346543
2020-12-14 04:00:00,68.04698448089187
2020-12-14 05:00:00,74.77436565074387
2020-12-14 06:00:00,107.66574896231296
2020-12-14 07:00:00,248.15891891975025
2020-12-14 08:00:00,520.6951308561161
2020-12-14 09:00:00,713.1868861155033
2020-12-14 10:00:00,725.5987895973382
2020-12-14 11:00:00,665.6108993382628
2020-12-14 12:00:00,719.4962044094664
2020-12-14 13:00:00,751.7921809938421
2020-12-14 14:00:00,748.6456155151948
2020-12-14 15:00:00,779.234987874228
2020-12-14 16:00:00,782.6960919189205
2020-12-14 17:00:00,813.6068637044432
2020-12-14 18:00:00,851.5982135661344
2020-12-14 19:00:00,925.2202546026342
2020-12-14 20:00:00,904.3046920604613
2020-12-14 21:00:00,674.1759220532595
2020-12-14 22:00:00,478.2159059106325
2020-12-14 23:00:00,415.527427506364
2020-12-15 00:00:00,359.6357900716984
2020-12-15 01:00:00,245.18920220628496
2020-12-15 02:00:00,163.7079199174105
2020-12-15 03:00:00,108.81272470691596
2020-12-15 04:00:00,66.37009608946452
2020-12-15 05:00:00,76.45065360568734
2020-12-15 06:00:00,107.37636901986235
2020-12-15 07:00:00,264.93640260209736
2020-12-15 08:00:00,506.96850694878617
2020-12-15 09:00:00,702.2825194837937
2020-12-15 10:00:00,711.392854618863
2020-12-15 11:00:00,671.912223988327
2020-12-15 12:00:00,726.838169994611
2020-12-15 13:00:00,790.3790839430153
2020-12-15 14:00:00,755.2938204769525
2020-12-15 15:00:00,788.4589092886488
2020-12-15 16:00:00,807.1608555441207
2020-12-15 17:00:00,829.6208370819261
2020-12-15 18:00:00,917.3127431506036
2020-12-15 19:00:00,955.5696991717086
2020-12-15 20:00:00,867.4903989048981
2020-12-15 21:00:00,690.7441284790457
2020-12-15 22:00:00,484.1845674177788
2020-12-15 23:00:00,438.7801020914853
2020-12-16 00:00:00,435.48855671079684
2020-12-16 01:00:00,302.299514308624
2020-12-16 02:00:00,205.4919642787228
2020-12-16 03:00:00,144.28504869751703
2020-12-16 04:00:00,95.48294343308505
2020-12-16 05:00:00,90.63637596014667
2020-12-16 06:00:00,123.81467904312643
2020-12-16 07:00:00,270.0644952620049
2020-12-16 08:00:00,529.5682026664349
2020-12-16 09:00:00,760.1768860426623
2020-12-16 10:00:00,772.2820917939096
2020-12-16 11:00:00,734.5992895778643
2020-12-16 12:00:00,804.5198334878907
2020-12-16 13:00:00,835.5395257292341
2020-12-16 14:00:00,808.051366970996
2020-12-16 15:00:00,833.8476255990065
2020-12-16 16:00:00,869.7538479429427
2020-12-16 17:00:00,864.168155439876
2020-12-16 18:00:00,927.5458517303634
2020-12-16 19:00:00,1003.0867121266983
2020-12-16 20:00:00,963.0255475108554
2020-12-16 21:00:00,777.6703739027188
2020-12-16 22:00:00,523.5882101394382
2020-12-16 23:00:00,488.259423131669
