Date et heure de comptage,Taux d'occupation
2020-12-11 00:00:00,2.060527745226488
2020-12-11 01:00:00,1.6776351753809329
2020-12-11 02:00:00,0.8739090216995662
2020-12-11 03:00:00,0.6945520123148279
2020-12-11 04:00:00,0.3625262361904864
2020-12-11 05:00:00,0.32034412810446067
2020-12-11 06:00:00,0.6318219971081153
2020-12-11 07:00:00,1.6237054989609354
2020-12-11 08:00:00,3.246343965329526
2020-12-11 09:00:00,4.688569308091266
2020-12-11 10:00:00,5.076348872818644
2020-12-11 11:00:00,4.900319715754385
2020-12-11 12:00:00,5.741952198881712
2020-12-11 13:00:00,5.049032815805407
2020-12-11 14:00:00,4.9676151436544895
2020-12-11 15:00:00,5.600085591777695
2020-12-11 16:00:00,5.660540565700277
2020-12-11 17:00:00,7.561942428382564
2020-12-11 18:00:00,10.257535225676772
2020-12-11 19:00:00,7.790049254748709
2020-12-11 20:00:00,5.834366835028681
2020-12-11 21:00:00,3.7671217356199413
2020-12-11 22:00:00,2.2346096566445652
2020-12-11 23:00:00,2.2501433648848
2020-12-12 00:00:00,1.5897433874020315
2020-12-12 01:00:00,1.1062566910523262
2020-12-12 02:00:00,0.5030062074405768
2020-12-12 03:00:00,0.4084640609128056
2020-12-12 04:00:00,0.0
2020-12-12 05:00:00,0.0
2020-12-12 06:00:00,0.0
2020-12-12 07:00:00,0.6328967843842368
2020-12-12 08:00:00,1.4500651283179793
2020-12-12 09:00:00,2.1278689378684263
2020-12-12 10:00:00,2.725391388809809
2020-12-12 11:00:00,3.2712865988358226
2020-12-12 12:00:00,3.7814031219287916
2020-12-12 13:00:00,3.815296313564743
2020-12-12 14:00:00,3.519291670030087
2020-12-12 15:00:00,3.8750762410098076
2020-12-12 16:00:00,4.362573558967758
2020-12-12 17:00:00,5.056663235029336
2020-12-12 18:00:00,4.649425879369259
2020-12-12 19:00:00,4.6814188831227925
2020-12-12 20:00:00,4.401238935439063
2020-12-12 21:00:00,3.0975360692346623
2020-12-12 22:00:00,1.7551577140987344
2020-12-12 23:00:00,1.5248000219574513
2020-12-13 00:00:00,1.5064870559440944
2020-12-13 01:00:00,0.9804209926964396
2020-12-13 02:00:00,0.5237030878300649
2020-12-13 03:00:00,0.32521631718753863
2020-12-13 04:00:00,0.05512617904135553
2020-12-13 05:00:00,0.0
2020-12-13 06:00:00,0.0
2020-12-13 07:00:00,0.010190429494905562
